model,target,roc_auc,pr_auc,recall,precision,f1,threshold,recall_at_threshold,precision_at_threshold,dataset_size,positive_rate,cv_folds,illustrative,roc_auc_cv_mean,roc_auc_cv_std,cv_note
Logistic Regression,delayed_flag,0.7991,0.4488,0.7404,0.3395,0.4656,0.5,,,25000,0.1872,train/test split,False,0.8126,0.0082,"5-fold stratified CV, LR only"
Random Forest,delayed_flag,0.799,0.4379,0.9156,0.2994,0.4513,0.5,,,25000,0.1872,train/test split,False,,,CV not run (see LR row for stability check)
Gradient Boosting,delayed_flag,0.7994,0.4398,0.1934,0.5485,0.2859,0.1925419969218498,0.7511,0.3517,25000,0.1872,train/test split,False,,,CV not run (see LR row for stability check)
Logistic Regression,denied_flag,0.7126,0.131,0.6557,0.1111,0.19,0.5,,,25000,0.061,train/test split,False,0.7147,0.0085,"5-fold stratified CV, LR only"
Random Forest,denied_flag,0.7058,0.1321,0.6623,0.1048,0.1809,0.5,,,25000,0.061,train/test split,False,,,CV not run (see LR row for stability check)
Gradient Boosting,denied_flag,0.7038,0.1274,0.0,0.0,0.0,0.0549232048795335,0.7016,0.1044,25000,0.061,train/test split,False,,,CV not run (see LR row for stability check)
Logistic Regression,overturned_flag,0.6945,,0.7561,0.8545,0.8005,0.5,,,175,0.7943,5-fold stratified CV,True,0.6945,0.0813,Appeal model uses CV as primary (175 rows)
Decision Tree,overturned_flag,0.6669,,0.6839,0.8716,0.7656,0.5,,,175,0.7943,5-fold stratified CV,True,,,Appeal model uses CV as primary (175 rows)
